DÃ­a;coeficientes
1;0,0035541680
2;0,0036666687
3;0,0036671077
4;0,0036653926
5;0,0035541680
6;0,0035541680
7;0,0036666687
8;0,0036666687
9;0,0036666687
10;0,0036671077
11;0,0036653926
12;0,0035541680
13;0,0036495689
14;0,0036666687
15;0,0036666687
16;0,0036666687
17;0,0036671077
18;0,0036653926
19;0,0035541680
20;0,0036495689
21;0,0036666687
22;0,0036666687
23;0,0036666687
24;0,0036671077
25;0,0036653926
26;0,0035541680
27;0,0036495689
28;0,0036666687
29;0,0036666687
30;0,0036666687
31;0,0036671077